year,tests,accumulated_total
1947,0,0
1948,3,3
1949,1,4
1950,0,4
1951,18,22
1952,11,33
1953,18,51
1954,16,67
1955,24,91
1956,33,124
1957,55,179
1958,118,297
1959,0,297
1960,68,365
1961,91,456
1962,178,634
1963,67,701
1964,60,761
1965,61,822
1966,76,898
1967,69,967
1968,80,1047
1969,72,1119
1970,68,1187
1971,54,1241
1972,58,1299
1973,50,1349
1974,56,1405
1975,46,1451
1976,51,1502
1977,58,1560
1978,66,1626
1979,59,1685
1980,55,1740
1981,52,1792
1982,49,1841
1983,59,1900
1984,59,1959
1985,36,1995
1986,23,2018
1987,51,2069
